cancer_type,tcga_abbrev,rank,gene_index,gene_symbol,importance_score,known_biomarker
skin cutaneous melanoma,SKCM,1,48,gene_48,0.026550,
skin cutaneous melanoma,SKCM,2,39,gene_39,0.023498,
skin cutaneous melanoma,SKCM,3,27,gene_27,0.022836,
skin cutaneous melanoma,SKCM,4,38,gene_38,0.022539,
skin cutaneous melanoma,SKCM,5,51,gene_51,0.021714,
skin cutaneous melanoma,SKCM,6,52,gene_52,0.021671,
skin cutaneous melanoma,SKCM,7,49,gene_49,0.021494,
skin cutaneous melanoma,SKCM,8,17,gene_17,0.020938,
skin cutaneous melanoma,SKCM,9,14,gene_14,0.020453,
skin cutaneous melanoma,SKCM,10,30,gene_30,0.020242,
thyroid carcinoma,THCA,1,48,gene_48,0.008713,
thyroid carcinoma,THCA,2,9,gene_9,0.007197,
thyroid carcinoma,THCA,3,35,gene_35,0.005446,
thyroid carcinoma,THCA,4,15,gene_15,0.005193,
thyroid carcinoma,THCA,5,49,gene_49,0.004988,
thyroid carcinoma,THCA,6,68,gene_68,0.004931,
thyroid carcinoma,THCA,7,37,gene_37,0.004615,
thyroid carcinoma,THCA,8,32,gene_32,0.004554,
thyroid carcinoma,THCA,9,82,gene_82,0.004445,
thyroid carcinoma,THCA,10,45,gene_45,0.004273,
sarcoma,SARC,1,51,gene_51,0.065592,
sarcoma,SARC,2,40,gene_40,0.062502,
sarcoma,SARC,3,38,gene_38,0.052453,
sarcoma,SARC,4,35,gene_35,0.047465,
sarcoma,SARC,5,53,gene_53,0.046929,
sarcoma,SARC,6,58,gene_58,0.046183,
sarcoma,SARC,7,49,gene_49,0.044427,
sarcoma,SARC,8,39,gene_39,0.044024,
sarcoma,SARC,9,33,gene_33,0.043921,
sarcoma,SARC,10,44,gene_44,0.043202,
prostate adenocarcinoma,PRAD,1,40,gene_40,0.009845,
prostate adenocarcinoma,PRAD,2,39,gene_39,0.008782,
prostate adenocarcinoma,PRAD,3,49,gene_49,0.007029,
prostate adenocarcinoma,PRAD,4,29,gene_29,0.006940,
prostate adenocarcinoma,PRAD,5,45,gene_45,0.006803,
prostate adenocarcinoma,PRAD,6,35,gene_35,0.006798,
prostate adenocarcinoma,PRAD,7,26,gene_26,0.006367,
prostate adenocarcinoma,PRAD,8,18,gene_18,0.006125,
prostate adenocarcinoma,PRAD,9,47,gene_47,0.005848,
prostate adenocarcinoma,PRAD,10,52,gene_52,0.005795,
pheochromocytoma & paraganglioma,PCPG,1,281,gene_281,0.013223,
pheochromocytoma & paraganglioma,PCPG,2,282,gene_282,0.006350,
pheochromocytoma & paraganglioma,PCPG,3,300,gene_300,0.005697,
pheochromocytoma & paraganglioma,PCPG,4,266,gene_266,0.005384,
pheochromocytoma & paraganglioma,PCPG,5,276,gene_276,0.004779,
pheochromocytoma & paraganglioma,PCPG,6,261,gene_261,0.004747,
pheochromocytoma & paraganglioma,PCPG,7,277,gene_277,0.004430,
pheochromocytoma & paraganglioma,PCPG,8,273,gene_273,0.004272,
pheochromocytoma & paraganglioma,PCPG,9,249,gene_249,0.004191,
pheochromocytoma & paraganglioma,PCPG,10,284,gene_284,0.003999,
pancreatic adenocarcinoma,PAAD,1,51,gene_51,0.020999,
pancreatic adenocarcinoma,PAAD,2,5205,gene_5205,0.020685,
pancreatic adenocarcinoma,PAAD,3,24,gene_24,0.019426,
pancreatic adenocarcinoma,PAAD,4,53,gene_53,0.019181,
pancreatic adenocarcinoma,PAAD,5,10,gene_10,0.018501,
pancreatic adenocarcinoma,PAAD,6,21,gene_21,0.017715,
pancreatic adenocarcinoma,PAAD,7,41,gene_41,0.017469,
pancreatic adenocarcinoma,PAAD,8,38,gene_38,0.017214,
pancreatic adenocarcinoma,PAAD,9,16,gene_16,0.016838,
pancreatic adenocarcinoma,PAAD,10,49,gene_49,0.016108,
head & neck squamous cell carcinoma,HNSC,1,61,gene_61,0.036560,
head & neck squamous cell carcinoma,HNSC,2,51,gene_51,0.022975,
head & neck squamous cell carcinoma,HNSC,3,50,gene_50,0.022877,
head & neck squamous cell carcinoma,HNSC,4,55,gene_55,0.022499,
