rank,gene_index,gene_symbol,global_importance_score,known_biomarker_for (paper),top_3_cancer_types
1,50,gene_50,0.022513,,cervical & endocervical cancer; bladder urothelial carcinoma; thymoma
2,51,gene_51,0.022392,,adrenocortical cancer; cervical & endocervical cancer; thymoma
3,38,gene_38,0.021410,,esophageal carcinoma; adrenocortical cancer; thymoma
4,36,gene_36,0.021070,,thymoma; esophageal carcinoma; glioblastoma multiforme
5,40,gene_40,0.020188,,thymoma; sarcoma; adrenocortical cancer
6,45,gene_45,0.019509,,adrenocortical cancer; thymoma; cervical & endocervical cancer
7,37,gene_37,0.019304,,thymoma; adrenocortical cancer; cervical & endocervical cancer
8,48,gene_48,0.019235,,thymoma; adrenocortical cancer; mesothelioma
9,49,gene_49,0.019000,,cervical & endocervical cancer; thymoma; adrenocortical cancer
10,39,gene_39,0.018844,,thymoma; glioblastoma multiforme; bladder urothelial carcinoma
11,43,gene_43,0.018595,,adrenocortical cancer; thymoma; bladder urothelial carcinoma
12,44,gene_44,0.018409,,adrenocortical cancer; thymoma; esophageal carcinoma
13,41,gene_41,0.018404,,adrenocortical cancer; esophageal carcinoma; cervical & endocervical cancer
14,61,gene_61,0.018018,,cervical & endocervical cancer; thymoma; mesothelioma
15,46,gene_46,0.017966,,cervical & endocervical cancer; bladder urothelial carcinoma; mesothelioma
16,53,gene_53,0.017818,,thymoma; esophageal carcinoma; bladder urothelial carcinoma
17,33,gene_33,0.017791,,adrenocortical cancer; thymoma; bladder urothelial carcinoma
18,42,gene_42,0.017704,,adrenocortical cancer; thymoma; bladder urothelial carcinoma
19,35,gene_35,0.017638,,thymoma; adrenocortical cancer; bladder urothelial carcinoma
20,32,gene_32,0.017480,,adrenocortical cancer; thymoma; glioblastoma multiforme
21,47,gene_47,0.017245,,adrenocortical cancer; thymoma; esophageal carcinoma
22,52,gene_52,0.017055,,cervical & endocervical cancer; thymoma; bladder urothelial carcinoma
23,64,gene_64,0.016822,,adrenocortical cancer; bladder urothelial carcinoma; cervical & endocervical cancer
24,54,gene_54,0.016521,,adrenocortical cancer; thymoma; cervical & endocervical cancer
25,27,gene_27,0.016486,,adrenocortical cancer; thymoma; bladder urothelial carcinoma
26,60,gene_60,0.016356,,thymoma; bladder urothelial carcinoma; glioblastoma multiforme
27,28,gene_28,0.016319,,thymoma; adrenocortical cancer; bladder urothelial carcinoma
28,22,gene_22,0.016314,,thymoma; adrenocortical cancer; glioblastoma multiforme
29,24,gene_24,0.016155,,bladder urothelial carcinoma; adrenocortical cancer; esophageal carcinoma
30,55,gene_55,0.016154,,adrenocortical cancer; glioblastoma multiforme; thymoma
31,34,gene_34,0.016148,,thymoma; adrenocortical cancer; esophageal carcinoma
32,56,gene_56,0.016111,,adrenocortical cancer; glioblastoma multiforme; thymoma
33,30,gene_30,0.015886,,thymoma; adrenocortical cancer; cervical & endocervical cancer
34,57,gene_57,0.015468,,bladder urothelial carcinoma; thymoma; kidney chromophobe
35,25,gene_25,0.015442,,adrenocortical cancer; thymoma; bladder urothelial carcinoma
36,65,gene_65,0.015347,,adrenocortical cancer; bladder urothelial carcinoma; thymoma
37,26,gene_26,0.015263,,adrenocortical cancer; thymoma; glioblastoma multiforme
38,29,gene_29,0.015007,,thymoma; bladder urothelial carcinoma; esophageal carcinoma
39,16,gene_16,0.015005,,adrenocortical cancer; thymoma; kidney chromophobe
40,63,gene_63,0.014936,,adrenocortical cancer; esophageal carcinoma; thymoma
41,31,gene_31,0.014928,,glioblastoma multiforme; bladder urothelial carcinoma; cervical & endocervical cancer
42,17,gene_17,0.014904,,thymoma; bladder urothelial carcinoma; kidney chromophobe
43,68,gene_68,0.014873,,glioblastoma multiforme; esophageal carcinoma; thymoma
44,62,gene_62,0.014804,,thymoma; bladder urothelial carcinoma; adrenocortical cancer
45,23,gene_23,0.014647,,adrenocortical cancer; thymoma; cervical & endocervical cancer
46,58,gene_58,0.014605,,adrenocortical cancer; sarcoma; bladder urothelial carcinoma
47,59,gene_59,0.014543,,adrenocortical cancer; thymoma; glioblastoma multiforme
48,9,gene_9,0.014365,,adrenocortical cancer; bladder urothelial carcinoma; sarcoma
49,66,gene_66,0.014156,,thymoma; esophageal carcinoma; bladder urothelial carcinoma
50,21,gene_21,0.014079,,thymoma; adrenocortical cancer; esophageal carcinoma
